locale_id;sk;sk - upravena hlaska;en;en-upravena hlaska
bulkActions.deleteFile.newWindowText;Zobraziť celý zoznam inštancií a ich vzťahov (do nového okna);;Show the whole list of instances and their relations (in new window);
bulkActions.deleteFile.reason;Poznámka / Dôvod zmazania;Poznámka/Dôvod zmazania;Note / Removal reason;
bulkActions.deleteFile.success;Položky boli poslané na spracovanie, prosím počkajte na notifikáciu o odstránení dokumentov.;Položky boli odoslané na spracovanie, prosím, počkajte na notifikáciu o odstránení dokumentov.;Item was sent for processing, please wait for documents removal notification.;
bulkActions.deleteFile.title;Zmazanie dokumentov;;Remove documents;
bulkActions.deleteFile.warningText;Vybrané dokumenty budú zmazané. Ich obnovenie nebude možné.;;Selected documents will be removed. It would not be possible to edit them or carry out any operations with them.;
bulkActions.invalidate.invalidate;Zneplatnenie;;Invalidity;
bulkActions.invalidate.listText;Chystáte sa zneplatniť tieto vybrané záznamy ({{count}}):;;Selected records will be invalidated ({{count}}):;
bulkActions.invalidate.newWindowText;Zobraziť celý zoznam inštancií a ich vzťahov (do nového okna);;Show the whole list of instances and their relationships (in new window);
bulkActions.invalidate.reason;Poznámka / Dôvod zneplatnenia;Poznámka/Dôvod zneplatnenia;Note / Invalidity reason;
bulkActions.invalidate.success;Položka bola poslaná na spracovanie, prosím počkajte na notifikáciu o zneplatnení.;Položka bola odoslaná na spracovanie, prosím, počkajte na notifikáciu o zneplatnení.;Item was sent for processing, please wait for invalidation notification.;
bulkActions.invalidate.successList;Položky boli poslané na spracovanie, prosím počkajte na notifikáciu o zneplatnení.;Položky boli odoslané na spracovanie, prosím, počkajte na notifikáciu o zneplatnení.;Items were sent for processing, please wait for invalidation notification.;
bulkActions.invalidate.title;Zneplatnenie položky;;Invalidate item;
bulkActions.invalidate.titleList;Zneplatnenie položiek;;Invalidate items;
bulkActions.invalidate.warningText;Vybrané záznamy budú zneplatnené. Nebude ich možné editovať, ani nad nimi vykonávať ďalšie operácie.Ich zneplatnením sa zneplatnia aj všetky vzťahy k ostatným entitám (službám a pod.);Vybrané záznamy budú zneplatnené. Nebude ich možné editovať, ani nad nimi vykonávať ďalšie operácie. Ich zneplatnením sa zneplatnia aj všetky vzťahy k ostatným entitám (službám a pod.).;Selected records will be invalidated. It would not be possible to edit them or carry out any operations with them. Upon their invalidation will all relations to other entities be invalidated (services and etc.);
bulkActions.reInvalidate.listText;Chystáte sa splatniť tieto vybrané záznamy ({{count}}):;;Selected records will be invalidated ({{count}}):;
bulkActions.reInvalidate.newWindowText;Zobraziť celý zoznam inštancií a ich vzťahov (do nového okna);;Show the whole list of instances and their relations (in new window);
bulkActions.reInvalidate.reInvalidate;Splatnenie;;Validation;
bulkActions.reInvalidate.reason;Poznámka / Dôvod zneplatnenia:;Poznámka/Dôvod zneplatnenia:;Note / Invalidity reason;
bulkActions.reInvalidate.success;Položka bola poslaná na spracovanie, prosím počkajte na notifikáciu o splatnení.;Položka bola odoslaná na spracovanie, prosím, počkajte na notifikáciu o splatnení.;Item was sent for processing, please wait for reinvalidation notification.;
bulkActions.reInvalidate.successList;Položky boli poslané na spracovanie, prosím počkajte na notifikáciu o splatnení.;Položky boli odoslané na spracovanie, prosím, počkajte na notifikáciu o splatnení.;Items were sent for processing, please wait for reinvalidation notification.;
bulkActions.reInvalidate.title;Splatňovanie položky;;Revalidate item;
bulkActions.reInvalidate.titleList;Splatňovanie položiek;;Revalidate items;
bulkActions.reInvalidate.warningText;Vybrané záznamy budú splatnené. Vzťahy, ktoré obsahujú, nebudú zmenené.;;Selected records will be validated. Relations that they contain shall remain unmodified.;
bulkActions.updateFile.listText;Chystáte sa aktualizovať tieto vybrané záznamy ({{count}}):;;Selected records will be updated ({{count}}):;
bulkActions.updateFile.newWindowText;Zobraziť celý zoznam inštancií a ich vzťahov (do nového okna);;Show the whole list of instances and their relationships (in new window);
bulkActions.updateFile.reason;Poznámka / Dôvod;Poznámka/Dôvod;Note / Reason;
bulkActions.updateFile.success;;;Item was sent for processing, please wait for documents removal notification.;
bulkActions.updateFile.successList;Položky boli poslané na spracovanie, prosím počkajte na notifikáciu o aktualizácí dokumentov.;Položky boli odoslané na spracovanie, prosím, počkajte na notifikáciu o aktualizácii dokumentov.;;
bulkActions.updateFile.title;Aktualizácia dokumentu;;Update document;
bulkActions.updateFile.updateFile;Aktualizácia dokumentu;;Update file;
bulkActions.updateFile.warningText;Vybrané dokumenty budú aktualizované. Vzťahy, ktoré obsahujú, nebudú zmenené.;;Selected records will be updated. Relations that they contain shall remain unmodified.;
button.back;Späť;;Back;
button.cancel;Zrušiť;;Cancel;
button.saveAndContinue;Uložiť a pokračovať;;Save and continue;
button.saveChanges;Uložiť zmeny;;Save changes;
ciInformationAccordion.basicInformation;Základné informácie;;Basic information;
ciInformationAccordion.error;Pri načítavaní dát sa vyskytla technická chyba a niektoré položky nemusia mať priradené hodnoty. V prípade, že sa chyba vyskytuje opakovane, kontaktujte administrátora e-mailom.;Ospravedlňujeme sa, ale pri načítavaní dát sa vyskytla technická chyba a niektoré položky nemusia mať priradené hodnoty. V prípade, že sa chyba vyskytuje opakovane, kontaktujte, prosím, administrátora MetaIS e-mailom na adrese: ;Technical error occurred while fetching data and some items might not have assigned value. In case the error occurred repeatedly, contact the administrator by e-mail.;Technical error occurred while fetching data and some items might not have assigned value. In case the error occurred repeatedly, contact the administrator by at: 
ciInformationAccordion.info;Informácie;;Information;
ciInformationAccordion.owner;Správca;;Manager;
ciInformationAccordion.relations;Vzťahy;;Relations;
ciType.AS;Aplikačná služba;;Application service;
ciType.ISVS;ISVS;;ISVS;
ciType.InfraSluzba;Infraštruktúrne služby;;Infrastructure service;
ciType.KRIS;Koncepcie rozvoja IT;;KRIT;
ciType.KS;Koncová služba;;eGov service;
ciType.PO_IS_Heading;Spracovatelia koncepcií rozvoja IT;;Processors of IT development concepts;
ciType.PO_IS_PO_Heading;Prevádzkovatelia IS;;IS operators;
ciType.PO_PO_Heading;Podriadené osoby;;Subordinates;
ciType.Projekt;Projekt;;Project;
ciType.actions.error.approvedBudget;"Pre schválenie je potrebné doplnenie ""Schválené ročné prevádzkové náklady projektu v EUR:"" a ""Schválený rozpočet projektu v EUR:"" na záložke ""detailne informácie"" v profile Finančné informácie""";"Pre schválenie je potrebné doplnenie ""Schválené ročné prevádzkové náklady projektu v EUR:"" a ""Schválený rozpočet projektu v EUR:"" na záložke ""detailne informácie"" v profile ""Finančné informácie""";PTo approve project is needed to approve budget and approve annual operating costs of the project.;
ciType.actions.error.approvedDoc;Pre schválenie je potrebná dokumntácia Hodnotenie projektu.;Pre schválenie sa vyžaduje dokumentácia „Hodnotenie projektu“.;To approve project is needed to add documentation Hodnotenie projektu.;
ciType.actions.next.c_stav_projektu_10_0;Ukončiť projekt;;Complete the project;
ciType.actions.next.c_stav_projektu_11_0;Schváliť;;Approve;
ciType.actions.next.c_stav_projektu_11_1;Vrátiť na dopracovanie;;Return to completion;
ciType.actions.next.c_stav_projektu_11_2;Neschválený;;Not approved;
ciType.actions.next.c_stav_projektu_1_0;Odoslať na ohlásenie;;Send for notification;
ciType.actions.next.c_stav_projektu_2_0;Odoslať ako plánovaný;;Send as scheduled;
ciType.actions.next.c_stav_projektu_3_0;Odoslať na schválenie;;Submit for approval;
ciType.actions.next.c_stav_projektu_3_0_REALIZATION;Začať realizáciu;;Begin implementation;
ciType.actions.next.c_stav_projektu_3_1;Začať realizáciu;;Begin implementation;
ciType.actions.next.c_stav_projektu_4_0;Schváliť;;Approve;
ciType.actions.next.c_stav_projektu_4_1;Vrátiť na dopracovanie;;Return to completion;
ciType.actions.next.c_stav_projektu_5_0;Odoslať na schválenie;;Submit for approval;
ciType.actions.next.c_stav_projektu_6_0;Začať realizáciu;;Begin implementation;
ciType.actions.next.c_stav_projektu_8_0;Nasadiť;;Deploy;
ciType.actions.next.c_stav_projektu_8_1;Zrušiť;;Cancel;
ciType.actions.return.return;Vrátiť stav;;Vrátiť stav;
ciType.activities;Aktivity NKIVS;;Activities NKIVS;
ciType.approve;Schváliť;;Approve;
ciType.besManagement;BES management;;BES management;
ciType.changeBDA;Správa položiek architektonického modelu;;BES management;
ciType.changeOfOwner;Zmena vlastníka;;Change owner;
ciType.chosenObject;Vybraný objekt (typ);;Chosen object (type);
ciType.cloneAS;Vytvoriť novú verziu položky;;Create new version of item;
ciType.cloneEntity;Klonovanie položky {{entityName}};;Clone item of {{entityName}};
ciType.cloneKS;Vytvoriť novú inštanciu položky;;Create new instance of item;
ciType.createEntity;Vytvorenie položky {{entityName}};;Create item of {{entityName}};
ciType.documents;Dokumenty;;Documents;
ciType.editButton;Upraviť;;Modify;
ciType.editEntity;Úprava položky {{entityName}};;Edit item of {{entityName}};
ciType.evaluation;Hodnotenie KRIT_TO_BE;;Evaluation KRIT_TO_BE;
ciType.goals;Ciele;;Goals;
ciType.history;História zmien;;History of changes;
ciType.informations;Informácie;;Information;
ciType.invalidateItem;Zneplatniť;;Invalidate;
ciType.messages.docNotExist;Daný dokument nie je vytvorený.;;Document is not created.;
ciType.messages.docRefreshDatabaseError;Ukládanie dokumentu do databázy zlyhalo.;;Saving document into database failed.;
ciType.messages.docRefreshError;Dokument sa nepodarilo obnoviť;Dokument sa nepodarilo obnoviť.;Document was not refreshed;
ciType.messages.docRefreshSuccess;Dokument bol obnovený;Dokument bol obnovený.;Document was refreshed;
ciType.messages.docUploadError;Dokument {{name}} nie je vytvorený;Dokument {{name}} nie je vytvorený.;Document {{name}} not created;
ciType.messages.docUploadSuccess;Dokument bol nahraný;Dokument bol nahraný.;The document has been uploaded;
ciType.messages.error;Pri odoslaní projektu nastala chyba;Pri odosielaní projektu nastala chyba.;An error occurred while submitting the project;
ciType.messages.errorDocuments;Nie sú vytvorené povinné dokumenty;Nie sú vytvorené povinné dokumenty.;Mandatory documents are not created;
ciType.messages.errorNotAllowedApprove;Používateľ nemá práva na schválenie projektu.;;The user has no right to approve the project.;
ciType.messages.errorNotApprovedKS;Koncové služby je potrebné vyplniť a vypublikovať.;;End services need to be completed and published.;
ciType.messages.errorRelations;Nie je vytvorený povinný vzťah na ISVS, alebo Miesto prevádzky;"Nie je vytvorený povinný vzťah na ISVS alebo ""Miesto prevádzky"".";There is no mandatory relationship with the ISVS or the Place of operation;
ciType.messages.errorRelationsAsKsFaza;"Položka má fázu životného cyklu ""Ostrá prevádzka";"Položka má fázu životného cyklu ""Ostrá prevádzka"".";"The item has a life cycle phase of ""Live Operation";
ciType.messages.success;Projekt bol posunutý do ďalšej fázy;Projekt bol posunutý do ďalšej fázy.;The project was moved to the next phase;
ciType.messages.successProjectCanceled;Projekt bol zrušený;Projekt bol zrušený.;The project was canceled;
ciType.messages.successProjectReturn;Projekt vratený do predchadzajúceho stavu;Projekt vratený do predchadzajúceho stavu.;Project returned to previous state;
ciType.messages.successReturned;Projekt vrátený na dopracovanie;Projekt vrátený na dopracovanie.;Project returned for completion;
ciType.meta.createdAt;Vytvorené;;Created;
ciType.meta.lastModifiedAt;Posledná zmena;;Last change;
ciType.meta.metaInformationsName;Metainformácie;;Meta-informations;
ciType.meta.owner;Správca;;Manager;
ciType.meta.state;Stav evidencie;;Evidence status;
ciType.moreButton;Viac akcií;;More actions;
ciType.newRelationHeading;;;New relation - {{relationEntityName}};
ciType.pdfGenerateFuture;Generovať KRIT - budúci stav;;Generate KRIT - future state;
ciType.reInvalidateCi;Splatnenie;;Validation;
ciType.reject;Zamietnuť;;Reject;
ciType.relationships;Vzťahy;;Relationships;
ciType.return;Vrátiť na dopracovanie;;Return;
ciType.return_to_workout;Vrátiť na dopracovanie;;Return for finalization;
ciType.revalidateItem;Splatniť;;Revalidate;
ciType.revalidateTitle;Splatňovanie položky;;Reinvalidate items;
ciType.revalidateWarning;Vybraná položka bude splatnená. Vzťahy, ktoré obsahuje, nebudú zmenené.;;Selected item will be validated. Relations that it contains shall remain unmodified.;
ciType.saveApprovingItem;Uložiť rozpracovaný protokol;;Save working version of protocol;
ciType.sendForApproval;Poslať na schválenie;;Send for approval;
ciType.sendToApprove;Poslať na schválenie;;Send for approval;
ciType.signDocument;Podpísať dokument KRIT - súčasný stav;;;
ciType.signDocumentFuture;Podpísať dokument KRIT - budúci stav;;Sign document - future state;
ciType.tasks;Úlohy;;Tasks;
codeList.breadcrumbs.codeLists;Číselníky;;Codelists;
codeList.breadcrumbs.codeListsList;Zoznam číselníkov;;List of codelists;
codeList.breadcrumbs.dataObjects;Dátové objekty;;Data objects;
codeList.breadcrumbs.detail;Detail číselníka;;Codelist detail;
codeList.breadcrumbs.home;Domov;;Home;
codeList.breadcrumbs.publicCodeListsList;Zoznam publikovaných číselníkov;;List of published codelists;
codeList.breadcrumbs.requestCreate;Vytvoriť žiadosť číselníka;Vytvoriť žiadosť o vytvorenie číselníka;;
codeList.breadcrumbs.requestEdit;Editovať žiadosť číselníka;Editovať žiadosť o vytvorenie číselníka;;
codeList.breadcrumbs.requestList;Zoznam žiadostí číselníkov;Zoznam žiadostí o vytvorenie číselníka;List of requests to add a codelist;
codeList.descriptionError;Popis je povinný;;Description is required;
codeList.filter.title;Filter;;Filter;
codeListDetail.button.addLanguage;Pridať jazykovú verziu;;Add language version;
codeListDetail.button.addNewItem;Pridať novú položku;;Add new item;
codeListDetail.button.edit;Upraviť;;Edit;
codeListDetail.button.exportCodelist;Export číselníka;;Codelist export;
codeListDetail.button.importCodelist;Import číselníka;;Codelist import;
codeListDetail.button.language;Jazyk;;Language;
codeListDetail.button.markItemReadyForPublishing;Pripraviť na publikovanie;;Mark as ready for publishing;
codeListDetail.button.markReadyForPublishingBulk;Označiť ako pripravené pre publikovanie;;Mark as ready for publishing;
codeListDetail.button.more;Viac možnosťí;Viac možností;More;
codeListDetail.button.publishCodelist;Publikovať;;Publish;
codeListDetail.button.publishCodelistItems;Publikovať položky;;Publish items;
codeListDetail.button.returnToMainGestor;Vrátiť hlavnému gestorovi;;Return codelist to main gestor;
codeListDetail.button.sendToIsvs;Presunúť do Komisie pre štandardizáciu ISVS;Presunúť do Komisie pre štandardizáciu ITVS;Move to the Committee for Standardization ISPA;
codeListDetail.button.sendToSzzc;Presunúť na správcu zoznamu ZČ;;Sent to headers list administrator;
codeListDetail.button.setDatesBulk;Doplniť dátum platnosti a začiatok účinnosti;;Fill in the validity date and effective start date;
codeListDetail.feedback.editCodeListItems;Položky číselníka boli zmenené;Položky číselníka boli zmenené.;Codelist items have been changed;
codeListDetail.feedback.publishCodeListItems;Položky číselníka boli zverejnené.;;Codelist items were published.;
codeListDetail.feedback.returnToMainGestor;Číselník bol vrátený na prepracovanie.;;Codelist was returned for revision.;
codeListDetail.feedback.sendToSzzc;Požiadavka bola odoslaná správcovi zoznamu ZČ.;;Request has been sent to administrator of BC list.;
codeListDetail.feedback.translationCreated;Jazyková verzia číselníka bola vytvorená. Teraz môžete pridávať preklad položiek v tomto jazyku.;;The language version of codelist has been created. You can now add translation of items in this language.;
codeListDetail.feedback.translationWarning;Jazyková verzia číselníka by mala byť publikovaná len kompletne preložená.;;The language version of the codelist should be published only when completely translated.;
codeListDetail.filter.effective.false;Nie;;No;
codeListDetail.filter.effective.label;Účinnosť k dnešnému dňu;;Effective as of today;
codeListDetail.filter.effective.true;Áno;;Yes;
codeListDetail.filter.state;Stav žiadostí;;Request status;
codeListDetail.form.hint.name;SK: {{name}};;SK: {{name}};
codeListDetail.form.label.language;Jazyk;;Language;
codeListDetail.form.label.name;Názov číselníka;;Codelist name;
codeListDetail.form.label.submit;Odoslať;;Send;
codeListDetail.history.filter.action;Akcia;;Action;
codeListDetail.history.filter.lastChangeFrom;Posledná zmena od;;Last change from;
codeListDetail.history.filter.lastChangeTo;Posledná zmena do;;Last change to;
codeListDetail.history.filter.lastModifiedBy;Zmenu vykonal;;Changed by;
codeListDetail.history.table.action;Akcia;;Action;
codeListDetail.history.table.changedAt;Dátum zmeny;;Date of change;
codeListDetail.history.table.changedBy;Zmenu vykonal;;Changed by;
codeListDetail.languages.de;Nemčina;;German;
codeListDetail.languages.en;Angličtina;;English;
codeListDetail.languages.hu;Maďarčina;;Hungarian;
codeListDetail.modal.button.confirm;Potvrdiť;;Confirm;
codeListDetail.modal.button.csv;CSV;;CSV;
codeListDetail.modal.button.xlsx;XLSX;;XLSX;
codeListDetail.modal.button.xml;XML;;XML;
codeListDetail.modal.form.effectiveFrom;Začiatok účinnosti;;Effective of;
codeListDetail.modal.form.validFrom;Platné od:;;Valid from:;
codeListDetail.modal.text.nothingSelected;Zvoľte záznamy;;Select records;
codeListDetail.modal.text.willBeChanged;Akcia ovplyvní nasledovné záznamy:;;The action will affect the following records:;
codeListDetail.modal.title.addLanguageVersion;Pridať jazykovú verziu;;Add language version;
codeListDetail.modal.title.export;Export číselníka;;Codelist export;
codeListDetail.modal.title.import;Import číselníka;;Codelist import;
codeListDetail.modal.title.markForPublish;Označiť ako pripravené pre publikovanie;;Mark as ready for publishing;
codeListDetail.modal.title.markForPublishAllItems;Publikovať položky;;Publish items;
codeListDetail.modal.title.publishCodeList;Publikovať číselník;;Publish codelist;
codeListDetail.modal.title.returnToMainGestor;Vrátiť hlavnému gestorovi;;Return codelist to main gestor;
codeListDetail.modal.title.sendToIsvs;Presunúť do Komisie pre štandardizáciu ISVS;Presunúť do Komisie pre štandardizáciu ITVS;Move to the Committee for Standardization ISPA;
codeListDetail.modal.title.sendToSzzc;Presunúť na správcu zoznamu ZČ;;Sent to headers list administrator;
codeListDetail.modal.title.setDates;Doplnenie dátumu platnosti a začiatku účinnosti;;Fill validity date and effective date;
codeListDetail.selectedSuffix; (zvolený);; (selected);
codeListDetail.state.ISVS_PROCESSING;Spracovávaná ISVS;;Processed by ISPA;
codeListDetail.state.KS_ISVS_ACCEPTED;Akceptované v Komisii pre štandardizáciu ISVS;Akceptované v Komisii pre štandardizáciu ITVS.;Accepted by Committee for Standardization ISPA;
codeListDetail.state.KS_ISVS_REJECTED;Zamietnuté v Komisii pre štandardizáciu ISVS;Zamietnuté v Komisii pre štandardizáciu ITVS.;Rejected by Committee for Standardization ISPA;
codeListDetail.state.NEW;Nová;;New;
codeListDetail.state.PUBLISHED;Publikovaná;;Published;
codeListDetail.state.READY_TO_PUBLISH;Pripravená na publikovanie;;Ready for publishing;
codeListDetail.state.UPDATING;Rozpracovaná;;In-progress;
codeListDetail.table.code;Kód;;Code;
codeListDetail.table.effective;Účinnosť k dnešnému dňu;;Effective as of today;
codeListDetail.table.name;Názov položky;;Item name;
codeListDetail.table.readyToPublish;Pripravená na publikovanie;;Ready for publishing;
codeListDetail.table.state;Stav;;Status;
codeListDetail.title.addNewItem;Pridanie novej položky do číselníka;;Add new item to codelist;
codeListDetail.title.editItem;Úprava položky číselníka;;Edit codelist item;
codeListDetail.title.items;Položky číselníka;;Codelist items;
codeListDetail.title.tab.gestor;Vecný gestor číselníka;;Factual codelist authority;
codeListDetail.title.tab.history;História zmien;;History of changes;
codeListDetail.title.tab.info;Základné informácie;;Basic information;
codeListDetail.unlimited;Neobmedzene;;Unlimited;
codeListDetail.validation.code;Kód položky je povinné pole;Kód položky je povinné pole.;Codelist ID is required field;
codeListDetail.validation.effectiveFrom;Začiatok účinnosti je povinné pole;Začiatok účinnosti je povinné pole.;Entry into force is required field;
codeListDetail.validation.name;Názov položky je povinné pole;Názov položky je povinné pole.;Codelist name is required field;
codeListDetail.warning.itemLocked;Toto je rozpracovaná verzia oprávneným používateľom {{user}} zo dňa {{date}};Toto je rozpracovaná verzia oprávneným používateľom {{user}} zo dňa {{date}}.;This is a version in-progress by authorized user {{user}} as of {{day}};
codeListDetail.warning.updatingVersion;Upravujete rozpracovanú verziu oprávneným používateľom {{user}} zo dňa {{day}};Upravujete rozpracovanú verziu oprávneným používateľom {{user}} zo dňa {{day}}.;You are modifying a version in-progress by authorized user {{user}} as of {{day}}.;
codeListDetail.warning.workVersion;Toto je rozpracovaná verzia;Toto je rozpracovaná verzia.;This is a version in-progress.;
codeListList.buttons.ACCEPT;Akceptovať;;Accept;
codeListList.buttons.ACCEPT_SZZC;Akceptovať správcom ZČ;;Accept by headers list administrator;
codeListList.buttons.CANCEL_REQUEST;Zrušit žiadosť;;Cancel request;
codeListList.buttons.EDIT;Upraviť;;Edit;
codeListList.buttons.EXPORT;Export;;Export;
codeListList.buttons.IMPORT;Import číselníka;;Import codelist;
codeListList.buttons.MOVE_TO_KSISVS;Presunúť do Komisie pre štandardizáciu ISVS;Presunúť do Komisie pre štandardizáciu ITVS;Move to the Committee for Standardization ISPA;
codeListList.buttons.REJECT;Zamietnuť;;Reject;
codeListList.buttons.SEND;Odoslať;;Send;
codeListList.codeListSubtitle;Zoznam číselníkov;;List of codelists;
codeListList.edit.addNewGestor;Pridať nového hlavného gestora;;Add a new main manager;
codeListList.edit.addNewRow;Pridať nový riadok;;Add a new row;
codeListList.edit.addNewVersionName;Pridať novú verziu názvu;;Add a new version of the title;
codeListList.edit.cancelAddNewGestor;Zrušiť pridanie nového hlavného gestora;;Cancel adding a new main manager;
codeListList.edit.cancelAddNewVersionName;Zrušiť pridanie novej verzie názvu;;Cancel new version of name;
codeListList.edit.dateFrom;Dátum platnosti;;From;
codeListList.edit.dateTo; Dátum platnosti do;Dátum platnosti do; To;
codeListList.edit.dateValid;Dátum platnosti;;Expiration date;
codeListList.edit.discardUpdating;Zahodiť rozpracovanú verziu;;Discard version in-progress;
codeListList.edit.newMainGestor;Nový hlavný gestor;;New main manager;
codeListList.edit.removeLock;Zrušiť zámok;;Cancel lock;
codeListList.edit.title;Upraviť číselník;;Edit code list;
codeListList.filter.code;Kód;;Code;
codeListList.filter.mainGestor;Hlavný gestor;;Main authority;
codeListList.filter.name;Názov číselníka;;Codelist name;
codeListList.filter.onlyBase.all;;;All;
codeListList.filter.onlyBase.false;Nie;;FALSE;
codeListList.filter.onlyBase.label;Základný číselník;;Is base codelist;
codeListList.filter.onlyBase.true;Áno;;TRUE;
codeListList.filter.state;Stav číselníka;;Codelist status;
codeListList.filter.title;Filter;;Filter;
codeListList.filter.toDate;Platné ku dňu;;Valid as of;
codeListList.lockedModal.button.currentRevision;Zobraziť aktuálne publikovnú verziu;;View the currently published version;
codeListList.lockedModal.button.lastSavedRevision;Zobraziť poslednú uloženú verziu;;View the last saved version;
codeListList.lockedModal.text;Momentáne nie je možné meniť vybraný číselník, pretože je uzamknutý používateľom ({{lockedBy}}).;;It is currently not possible to change the selected codelists because it is locked by the user ({{lockedBy}}).;
codeListList.publicCodeListSubtitle;Zoznam publikovaných číselníkov;;List of published codelists;
codeListList.requestCreate.addBtn;Žiadosť o zaradenie číselníka;Žiadosť o vytvorenie číselníka;Request for codelist classification;
codeListList.requestCreate.addItemBtn;Pridať novú položku;;Add new item;
codeListList.requestCreate.addNote;+ Pridať poznámku;;+ Add note;
codeListList.requestCreate.btnCheck;Overiť dostupnosť;;Check;
codeListList.requestCreate.codeId;Kód;;Code;
codeListList.requestCreate.codeListTableTitle;Položky číselníka;;codelist items;
codeListList.requestCreate.codeName;Názov položky;;Item Nam;
codeListList.requestCreate.contactTitle;Kontakt na vecného gestora číselníka;;Kontakt na vecného gestora číselníka;
codeListList.requestCreate.saveBtn;Uložiť;;Save;
codeListList.requestCreate.submitBtn;Odoslať žiadosť;;Send request;
codeListList.requestModal.acceptDesc;Akceptáciou žiadosti sa návrh základného číselníka odošle na schválanie Komisii pre štandardizáciu ISVS. Po jeho schválaní sa presunie do zoznamu číselníkov a príslušný gestor bude vyzvaný na doplnenie položiek číselníka  v zákonnej lehote.;Akceptáciou žiadosti sa návrh základného číselníka odošle na schválanie Komisii pre štandardizáciu ITVS. Po jeho schválaní sa presunie do zoznamu číselníkov a príslušný gestor bude vyzvaný na doplnenie položiek číselníka.;By accepting request is base counter draft sent for approval to the Committee for Standardization of ISPA. Upon its approval it is moved to counter list and relevant authority will be asked to complete counter items within the statutory deadline.;
codeListList.requestModal.acceptSzzcDesc;Naozaj chcete akceptovať žiadosť?;;;
codeListList.requestModal.acceptSzzcTitle;Akceptácia žiadosti správcom;;;
codeListList.requestModal.acceptTitle;Akceptácia žiadosti;;Accepting request;
codeListList.requestModal.cancelReqDesc;Naozaj chcete zrušiť žiadosť?;;;
codeListList.requestModal.cancelReqTitle;Zrušiť žiadosť;;;
codeListList.requestModal.endDate;Koniec účinnosti;;Koniec účinnosti;
codeListList.requestModal.no;Nie;;No;
codeListList.requestModal.rejectRequestDesc;Dôvod zamietnutia;;;
codeListList.requestModal.rejectRequestTitle;Zamietnutie žiadosti;;;
codeListList.requestModal.sendDesc;Naozaj chcete odoslať žiadosť číselníka?;;;
codeListList.requestModal.sendTitle;Odoslať žiadosť;;;
codeListList.requestModal.startDate;Začiatok účinnosti;;Začiatok účinnosti;
codeListList.requestModal.validate;Dátum platnosti;;Dátum platnosti;
codeListList.requestModal.yes;Áno;;Yes;
codeListList.requestTitle;Žiadosť o zaradenie číselníka;Žiadosť o vytvorenie číselníka;List of requests to add a codelist;
codeListList.requestTitleContact;Kontaktná osoba k číselníku;;Codelist contact person;
codeListList.requestValidations.codelistCode;Kód číselníka je povinné pole;Kód číselníka je povinné pole.;Codelist ID is required field;
codeListList.requestValidations.codelistCodeFormat;Kód číselníka je v zlom formáte;Kód číselníka je v zlom formáte.;Codelist ID has wrong format;
codeListList.requestValidations.codelistName;Názov číselníka je povinné pole;Názov číselníka je povinné pole.;Codelist name is required field;
codeListList.requestValidations.dateFrom;Dátum platnosti je povinné pole;Dátum platnosti je povinné pole.;From is required field;
codeListList.requestValidations.effectiveFrom;Začiatok účinnosti je povinné pole;Začiatok účinnosti je povinné pole.;Entry into force is required field;
codeListList.requestValidations.email;Email je povinné pole;E-mailová adresa je povinný údaj.;Email is required field;
codeListList.requestValidations.emailFormat;Email je v nesprávnom tvare;;Invalid email format;
codeListList.requestValidations.itemCode;Kód položky je povinné pole;Kód položky je povinné pole.;Codelist ID is required field;
codeListList.requestValidations.itemName;Názov položky je povinné pole;Názov položky je povinné pole.;Codelist name is required field;
codeListList.requestValidations.lastName;Priezvisko je povinné pole;Priezvisko je povinný údaj.;Lastname is required field;
codeListList.requestValidations.mainGestor;Hlavný gestor je povinné pole;Hlavný gestor je povinné pole.;Main gestor is required field;
codeListList.requestValidations.name;Meno je povinné pole;Meno je povinný údaj.;Name is required field;
codeListList.requestValidations.phone;Telefónne číslo je povinné pole;Telefónne číslo je povinný údaj.;Phone is required field;
codeListList.requestValidations.refIndicator;Referencovateľný identifikátor je povinné pole;Referencovateľný identifikátor je povinné pole.;Reference indicator is required field;
codeListList.requestValidations.resortCode;Rezortný kód je povinné pole;Rezortný kód je povinné pole.;Resort code is required field;
codeListList.state.ACCEPTED;Akceptovaná;;Accepted;
codeListList.state.ACCEPTED_SZZC;Akceptované správcom ZČ;;Accepted ZC administrator;
codeListList.state.DRAFT;Rozpracovaná;;Draft;
codeListList.state.ISVS_ACCEPTED;Akceptovaná ISVS;;Accepted ISPA;
codeListList.state.ISVS_PROCESSING;Odoslaný na schválenie na KS ISVS;Odoslaný na schválenie na KS ITVS;Sent for approval to the Committee for Standardization of ISPA.;
codeListList.state.ISVS_REJECTED;Zamietnutá ISVS;;Rejected ISPA;
codeListList.state.KS_ISVS_ACCEPTED;Akceptované v Komisii pre štandardizáciu ISVS;Akceptované v Komisii pre štandardizáciu ITVS.;Accepted by Committee for Standardization ISPA;
codeListList.state.KS_ISVS_REJECTED;Zamietnuté v Komisii pre štandardizáciu ISVS;Zamietnuté v Komisii pre štandardizáciu ITVS.;Rejected by Committee for Standardization ISPA;
codeListList.state.NEW;Nová;;;
codeListList.state.NEW_REQUEST;Nespracovaná;;New request;
codeListList.state.PUBLISHED;Publikovaný;;Published;
